role,category,difficulty,quality,label,question,answer,reference_answer,text
software engineer,oop,easy,AVERAGE,1,What is polymorphism in object-oriented programming?,Polymorphism lets one method or interface work with different objects. The actual behavior can change depending on the class.,Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used.,"QUESTION: What is polymorphism in object-oriented programming?
ANSWER: Polymorphism lets one method or interface work with different objects. The actual behavior can change depending on the class.
REFERENCE: Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used."
software engineer,oop,easy,WEAK,0,What is polymorphism in object-oriented programming?,Polymorphism means a class can only have one method and all objects must behave exactly the same way.,Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used.,"QUESTION: What is polymorphism in object-oriented programming?
ANSWER: Polymorphism means a class can only have one method and all objects must behave exactly the same way.
REFERENCE: Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used."
software engineer,system design,easy,STRONG,2,What is caching and why is it used?,Caching stores frequently used data in a faster layer such as memory so future requests can be served quickly. It reduces latency and also lowers load on the main database or service.,"Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems.","QUESTION: What is caching and why is it used?
ANSWER: Caching stores frequently used data in a faster layer such as memory so future requests can be served quickly. It reduces latency and also lowers load on the main database or service.
REFERENCE: Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems."
software engineer,system design,easy,AVERAGE,1,What is caching and why is it used?,Caching keeps data ready so the application can respond faster. It helps performance and avoids repeating the same work every time.,"Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems.","QUESTION: What is caching and why is it used?
ANSWER: Caching keeps data ready so the application can respond faster. It helps performance and avoids repeating the same work every time.
REFERENCE: Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems."
software engineer,system design,easy,WEAK,0,What is caching and why is it used?,Caching is deleting old data from memory so the system has less information to process and becomes secure.,"Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems.","QUESTION: What is caching and why is it used?
ANSWER: Caching is deleting old data from memory so the system has less information to process and becomes secure.
REFERENCE: Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems."
software engineer,networking,easy,STRONG,2,What is the difference between HTTP and HTTPS?,"HTTP is the standard web protocol, while HTTPS is the secure version that uses TLS or SSL encryption. HTTPS protects data in transit and helps verify the server identity.","HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection.","QUESTION: What is the difference between HTTP and HTTPS?
ANSWER: HTTP is the standard web protocol, while HTTPS is the secure version that uses TLS or SSL encryption. HTTPS protects data in transit and helps verify the server identity.
REFERENCE: HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection."
software engineer,networking,easy,AVERAGE,1,What is the difference between HTTP and HTTPS?,HTTPS is safer than HTTP because it encrypts the connection. HTTP sends data normally without that extra security layer.,"HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection.","QUESTION: What is the difference between HTTP and HTTPS?
ANSWER: HTTPS is safer than HTTP because it encrypts the connection. HTTP sends data normally without that extra security layer.
REFERENCE: HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection."
software engineer,networking,easy,WEAK,0,What is the difference between HTTP and HTTPS?,"HTTP and HTTPS are the same, except HTTPS is only used for images and HTTP is only used for text.","HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection.","QUESTION: What is the difference between HTTP and HTTPS?
ANSWER: HTTP and HTTPS are the same, except HTTPS is only used for images and HTTP is only used for text.
REFERENCE: HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection."
software engineer,version control,easy,STRONG,2,What is the purpose of Git branching?,Git branching lets developers work on features or fixes in separate lines of development without disturbing the main branch. Later the branch can be reviewed and merged back safely.,"Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge.","QUESTION: What is the purpose of Git branching?
ANSWER: Git branching lets developers work on features or fixes in separate lines of development without disturbing the main branch. Later the branch can be reviewed and merged back safely.
REFERENCE: Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge."
software engineer,version control,easy,AVERAGE,1,What is the purpose of Git branching?,Branching in Git is used to separate work from the main code so people can develop changes more safely before merging.,"Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge.","QUESTION: What is the purpose of Git branching?
ANSWER: Branching in Git is used to separate work from the main code so people can develop changes more safely before merging.
REFERENCE: Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge."
software engineer,version control,easy,WEAK,0,What is the purpose of Git branching?,Git branching means making a backup folder on your desktop every time you edit a file.,"Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge.","QUESTION: What is the purpose of Git branching?
ANSWER: Git branching means making a backup folder on your desktop every time you edit a file.
REFERENCE: Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge."
software engineer,algorithms,medium,STRONG,2,What is the time complexity of binary search and why?,"Binary search takes O(log n) time because each comparison cuts the remaining search space roughly in half, as long as the data is sorted.",Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection.,"QUESTION: What is the time complexity of binary search and why?
ANSWER: Binary search takes O(log n) time because each comparison cuts the remaining search space roughly in half, as long as the data is sorted.
REFERENCE: Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection."
software engineer,algorithms,medium,AVERAGE,1,What is the time complexity of binary search and why?,"The time complexity is logarithmic, O(log n), since the search keeps dividing the array into smaller parts.",Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection.,"QUESTION: What is the time complexity of binary search and why?
ANSWER: The time complexity is logarithmic, O(log n), since the search keeps dividing the array into smaller parts.
REFERENCE: Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection."
software engineer,algorithms,medium,WEAK,0,What is the time complexity of binary search and why?,Binary search is O(n squared) because it compares two values at a time.,Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection.,"QUESTION: What is the time complexity of binary search and why?
ANSWER: Binary search is O(n squared) because it compares two values at a time.
REFERENCE: Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection."
software engineer,concurrency,medium,STRONG,2,What is a race condition?,"A race condition happens when multiple threads or processes use shared data without enough synchronization, so the final result depends on which operation happens first.","A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order.","QUESTION: What is a race condition?
ANSWER: A race condition happens when multiple threads or processes use shared data without enough synchronization, so the final result depends on which operation happens first.
REFERENCE: A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order."
software engineer,concurrency,medium,AVERAGE,1,What is a race condition?,It is a problem where parallel tasks interfere with each other because they access the same data at the same time.,"A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order.","QUESTION: What is a race condition?
ANSWER: It is a problem where parallel tasks interfere with each other because they access the same data at the same time.
REFERENCE: A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order."
software engineer,concurrency,medium,WEAK,0,What is a race condition?,A race condition is when the CPU runs too fast and beats the memory to the result.,"A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order.","QUESTION: What is a race condition?
ANSWER: A race condition is when the CPU runs too fast and beats the memory to the result.
REFERENCE: A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order."
software engineer,os,medium,STRONG,2,What is the difference between a process and a thread?,"A process has its own memory space and resources, while threads are smaller units of execution inside a process that share the same memory. Threads are lighter but need synchronization when sharing data.","A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads.","QUESTION: What is the difference between a process and a thread?
ANSWER: A process has its own memory space and resources, while threads are smaller units of execution inside a process that share the same memory. Threads are lighter but need synchronization when sharing data.
REFERENCE: A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads."
software engineer,os,medium,AVERAGE,1,What is the difference between a process and a thread?,"A process is like a separate running program, and a thread is a smaller part inside it. Threads share memory while processes are more isolated.","A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads.","QUESTION: What is the difference between a process and a thread?
ANSWER: A process is like a separate running program, and a thread is a smaller part inside it. Threads share memory while processes are more isolated.
REFERENCE: A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads."
software engineer,os,medium,WEAK,0,What is the difference between a process and a thread?,"A process and a thread are exactly the same thing, just different names used by different operating systems.","A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads.","QUESTION: What is the difference between a process and a thread?
ANSWER: A process and a thread are exactly the same thing, just different names used by different operating systems.
REFERENCE: A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads."
software engineer,web,medium,STRONG,2,What is JWT and where is it used?,JWT stands for JSON Web Token. It is commonly used in authentication and authorization to carry signed claims between a client and server in a stateless way.,"JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications.","QUESTION: What is JWT and where is it used?
ANSWER: JWT stands for JSON Web Token. It is commonly used in authentication and authorization to carry signed claims between a client and server in a stateless way.
REFERENCE: JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications."
software engineer,web,medium,AVERAGE,1,What is JWT and where is it used?,JWT is a token format used in web apps for login-related features. It usually contains user information and is checked by the server.,"JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications.","QUESTION: What is JWT and where is it used?
ANSWER: JWT is a token format used in web apps for login-related features. It usually contains user information and is checked by the server.
REFERENCE: JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications."
software engineer,web,medium,WEAK,0,What is JWT and where is it used?,JWT is a Java web table used to store passwords permanently in the browser.,"JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications.","QUESTION: What is JWT and where is it used?
ANSWER: JWT is a Java web table used to store passwords permanently in the browser.
REFERENCE: JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications."
software engineer,testing,easy,STRONG,2,What is unit testing?,"Unit testing checks small isolated parts of code, like functions or methods, to confirm they behave correctly. It helps catch bugs early and makes refactoring safer.","Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected.","QUESTION: What is unit testing?
ANSWER: Unit testing checks small isolated parts of code, like functions or methods, to confirm they behave correctly. It helps catch bugs early and makes refactoring safer.
REFERENCE: Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected."
software engineer,testing,easy,AVERAGE,1,What is unit testing?,Unit testing means testing individual pieces of code instead of only testing the whole application. It helps developers verify correctness.,"Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected.","QUESTION: What is unit testing?
ANSWER: Unit testing means testing individual pieces of code instead of only testing the whole application. It helps developers verify correctness.
REFERENCE: Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected."
software engineer,testing,easy,WEAK,0,What is unit testing?,Unit testing is when the full system is launched in production to see whether users complain.,"Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected.","QUESTION: What is unit testing?
ANSWER: Unit testing is when the full system is launched in production to see whether users complain.
REFERENCE: Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected."
software engineer,cloud,easy,STRONG,2,What is the difference between vertical scaling and horizontal scaling?,"Vertical scaling means upgrading one machine with more CPU, RAM, or storage, while horizontal scaling means adding more machines or instances and distributing traffic across them.","Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload.","QUESTION: What is the difference between vertical scaling and horizontal scaling?
ANSWER: Vertical scaling means upgrading one machine with more CPU, RAM, or storage, while horizontal scaling means adding more machines or instances and distributing traffic across them.
REFERENCE: Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload."
software engineer,cloud,easy,AVERAGE,1,What is the difference between vertical scaling and horizontal scaling?,"Vertical scaling makes one server stronger, and horizontal scaling adds more servers to handle the load.","Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload.","QUESTION: What is the difference between vertical scaling and horizontal scaling?
ANSWER: Vertical scaling makes one server stronger, and horizontal scaling adds more servers to handle the load.
REFERENCE: Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload."
software engineer,cloud,easy,WEAK,0,What is the difference between vertical scaling and horizontal scaling?,"Vertical scaling changes the screen height of the server, while horizontal scaling changes the screen width.","Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload.","QUESTION: What is the difference between vertical scaling and horizontal scaling?
ANSWER: Vertical scaling changes the screen height of the server, while horizontal scaling changes the screen width.
REFERENCE: Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload."
software engineer,api,medium,STRONG,2,What is idempotency in APIs?,"Idempotency means repeating the same API request produces the same end result as sending it once. This is important for retries, especially in unreliable networks.","Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations.","QUESTION: What is idempotency in APIs?
ANSWER: Idempotency means repeating the same API request produces the same end result as sending it once. This is important for retries, especially in unreliable networks.
REFERENCE: Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations."
software engineer,api,medium,AVERAGE,1,What is idempotency in APIs?,It means an API call can be repeated without changing the final outcome more than once. This is useful for safe retries.,"Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations.","QUESTION: What is idempotency in APIs?
ANSWER: It means an API call can be repeated without changing the final outcome more than once. This is useful for safe retries.
REFERENCE: Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations."
software engineer,api,medium,WEAK,0,What is idempotency in APIs?,Idempotency means an API can only be called one time in its lifetime.,"Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations.","QUESTION: What is idempotency in APIs?
ANSWER: Idempotency means an API can only be called one time in its lifetime.
REFERENCE: Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations."
software engineer,security,medium,STRONG,2,Why are passwords hashed instead of encrypted in most authentication systems?,"Passwords are hashed because the system only needs to verify a password, not recover the original value. Hashing is one-way, and using strong password hashing algorithms makes stolen password databases harder to exploit.","Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection.","QUESTION: Why are passwords hashed instead of encrypted in most authentication systems?
ANSWER: Passwords are hashed because the system only needs to verify a password, not recover the original value. Hashing is one-way, and using strong password hashing algorithms makes stolen password databases harder to exploit.
REFERENCE: Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection."
software engineer,security,medium,AVERAGE,1,Why are passwords hashed instead of encrypted in most authentication systems?,Passwords are hashed for security because the original password should not be directly stored. The system can compare hashes during login instead of keeping readable passwords.,"Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection.","QUESTION: Why are passwords hashed instead of encrypted in most authentication systems?
ANSWER: Passwords are hashed for security because the original password should not be directly stored. The system can compare hashes during login instead of keeping readable passwords.
REFERENCE: Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection."
software engineer,security,medium,WEAK,0,Why are passwords hashed instead of encrypted in most authentication systems?,Passwords are encrypted so the server can always read them back and email them to users when needed.,"Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection.","QUESTION: Why are passwords hashed instead of encrypted in most authentication systems?
ANSWER: Passwords are encrypted so the server can always read them back and email them to users when needed.
REFERENCE: Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection."
software engineer,frontend,easy,STRONG,2,What is the virtual DOM?,The virtual DOM is an in-memory representation of the user interface. Frameworks like React compare the new virtual tree with the previous one and then update only the necessary parts of the real DOM.,The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM.,"QUESTION: What is the virtual DOM?
ANSWER: The virtual DOM is an in-memory representation of the user interface. Frameworks like React compare the new virtual tree with the previous one and then update only the necessary parts of the real DOM.
REFERENCE: The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM."
software engineer,frontend,easy,AVERAGE,1,What is the virtual DOM?,It is a lightweight copy of the DOM used by frameworks to figure out what changed before updating the browser page.,The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM.,"QUESTION: What is the virtual DOM?
ANSWER: It is a lightweight copy of the DOM used by frameworks to figure out what changed before updating the browser page.
REFERENCE: The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM."
software engineer,frontend,easy,WEAK,0,What is the virtual DOM?,The virtual DOM is a browser extension that stores websites in the cloud.,The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM.,"QUESTION: What is the virtual DOM?
ANSWER: The virtual DOM is a browser extension that stores websites in the cloud.
REFERENCE: The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM."
software engineer,backend,medium,STRONG,2,What is middleware in a web framework?,"Middleware is code that runs in the request-response pipeline before or after the main route handler. It is commonly used for logging, authentication, validation, and error handling.","Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation.","QUESTION: What is middleware in a web framework?
ANSWER: Middleware is code that runs in the request-response pipeline before or after the main route handler. It is commonly used for logging, authentication, validation, and error handling.
REFERENCE: Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation."
software engineer,backend,medium,AVERAGE,1,What is middleware in a web framework?,Middleware is an extra layer in a web app that processes requests before they reach the final controller or route logic.,"Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation.","QUESTION: What is middleware in a web framework?
ANSWER: Middleware is an extra layer in a web app that processes requests before they reach the final controller or route logic.
REFERENCE: Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation."
software engineer,backend,medium,WEAK,0,What is middleware in a web framework?,Middleware is hardware placed between two servers so that APIs can physically travel across cables.,"Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation.","QUESTION: What is middleware in a web framework?
ANSWER: Middleware is hardware placed between two servers so that APIs can physically travel across cables.
REFERENCE: Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation."
software engineer,database,medium,STRONG,2,What is a foreign key?,A foreign key is a field in one table that refers to the primary key of another table. It helps maintain relationships between tables and enforces referential integrity.,A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity.,"QUESTION: What is a foreign key?
ANSWER: A foreign key is a field in one table that refers to the primary key of another table. It helps maintain relationships between tables and enforces referential integrity.
REFERENCE: A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity."
software engineer,database,medium,AVERAGE,1,What is a foreign key?,It is a column used to connect one table to another by referencing a key from the other table.,A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity.,"QUESTION: What is a foreign key?
ANSWER: It is a column used to connect one table to another by referencing a key from the other table.
REFERENCE: A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity."
software engineer,database,medium,WEAK,0,What is a foreign key?,A foreign key is the password needed to open a remote database from another country.,A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity.,"QUESTION: What is a foreign key?
ANSWER: A foreign key is the password needed to open a remote database from another country.
REFERENCE: A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity."
software engineer,devops,medium,STRONG,2,What is CI/CD?,"CI/CD stands for continuous integration and continuous delivery or deployment. It automates building, testing, and releasing software so code changes can be integrated and shipped more reliably.","CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently.","QUESTION: What is CI/CD?
ANSWER: CI/CD stands for continuous integration and continuous delivery or deployment. It automates building, testing, and releasing software so code changes can be integrated and shipped more reliably.
REFERENCE: CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently."
software engineer,devops,medium,AVERAGE,1,What is CI/CD?,CI/CD is a development pipeline practice where code is tested and prepared for release automatically.,"CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently.","QUESTION: What is CI/CD?
ANSWER: CI/CD is a development pipeline practice where code is tested and prepared for release automatically.
REFERENCE: CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently."
software engineer,devops,medium,WEAK,0,What is CI/CD?,CI/CD is a programming language used to write deployment servers.,"CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently.","QUESTION: What is CI/CD?
ANSWER: CI/CD is a programming language used to write deployment servers.
REFERENCE: CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently."
